"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/2023","2,152.42","2,135.88","2,162.53","2,131.12","1.45B","0.44%"
"06/09/2023","2,143.01","2,122.16","2,143.01","2,118.79","1.84B","0.90%"
"06/08/2023","2,123.96","2,136.02","2,139.96","2,118.33","1.45B","-0.28%"
"06/07/2023","2,129.90","2,159.16","2,162.56","2,124.52","1.32B","-1.61%"
"06/06/2023","2,164.81","2,196.98","2,196.98","2,162.84","14.02K","-1.69%"
"06/05/2023","2,202.14","2,226.20","2,226.59","2,195.66","1.31B","-1.39%"
"06/02/2023","2,233.27","2,213.77","2,240.57","2,211.98","1.44B","1.22%"
"06/01/2023","2,206.43","2,191.80","2,225.13","2,184.92","1.55B","0.59%"
"05/31/2023","2,193.41","2,215.27","2,215.49","2,183.42","1.46B","-1.14%"
"05/30/2023","2,218.60","2,200.80","2,218.60","2,180.70","1.63B","0.67%"
"05/29/2023","2,203.84","2,236.98","2,238.40","2,196.06","1.51B","-1.14%"
"05/26/2023","2,229.27","2,244.34","2,244.34","2,215.29","1.16B","-0.66%"
"05/25/2023","2,244.18","2,245.31","2,257.10","2,228.93","14.01K","-0.05%"
"05/24/2023","2,245.26","2,245.47","2,268.86","2,239.90","1.17B","-0.36%"
"05/23/2023","2,253.33","2,282.90","2,284.07","2,253.33","1.08B","-1.18%"
"05/22/2023","2,280.15","2,278.71","2,291.28","2,265.76","11.24K","0.07%"
"05/19/2023","2,278.58","2,275.80","2,293.10","2,270.39","1.30B","0.03%"
"05/18/2023","2,277.97","2,299.63","2,300.62","2,264.84","1.40B","-0.68%"
"05/17/2023","2,293.64","2,293.55","2,300.29","2,281.17","1.26B","-0.02%"
"05/16/2023","2,294.19","2,300.80","2,307.17","2,286.23","1.52B","-0.25%"
"05/15/2023","2,299.93","2,259.17","2,299.93","2,257.82","1.73B","2.11%"
"05/12/2023","2,252.38","2,277.42","2,287.47","2,251.76","1.49B","-1.06%"
"05/11/2023","2,276.57","2,264.90","2,296.45","2,264.86","1.58B","0.63%"
"05/10/2023","2,262.22","2,241.44","2,273.68","2,228.18","1.74B","0.73%"
"05/09/2023","2,245.82","2,270.76","2,277.29","2,245.72","2.18B","-1.21%"
"05/08/2023","2,273.40","2,274.72","2,277.23","2,251.77","1.73B","0.25%"
"05/05/2023","2,267.63","2,291.24","2,293.84","2,260.64","1.72B","-1.31%"
"05/04/2023","2,297.67","2,316.33","2,319.83","2,290.92","1.80B","-1.16%"
"04/28/2023","2,324.72","2,309.35","2,328.89","2,303.31","1.95B","0.76%"
"04/27/2023","2,307.27","2,283.63","2,315.32","2,281.60","1.93B","0.58%"
"04/26/2023","2,294.06","2,249.53","2,306.66","2,247.95","2.25B","1.54%"
"04/25/2023","2,259.19","2,302.86","2,305.92","2,243.83","2.27B","-1.83%"
"04/24/2023","2,301.24","2,337.38","2,340.26","2,288.78","2.11B","-1.71%"
"04/21/2023","2,341.19","2,393.19","2,400.79","2,340.61","2.10B","-1.91%"
"04/20/2023","2,386.67","2,414.01","2,414.01","2,378.20","18.96K","-1.20%"
"04/19/2023","2,415.76","2,429.33","2,429.33","2,413.34","1.78B","-0.63%"
"04/18/2023","2,431.10","2,428.18","2,443.77","2,423.93","1.88B","-0.14%"
"04/17/2023","2,434.44","2,420.01","2,440.73","2,420.01","1.79B","0.26%"
"04/14/2023","2,428.09","2,409.77","2,432.36","2,409.60","1.84B","0.93%"
"04/13/2023","2,405.76","2,418.27","2,426.83","2,403.92","1.94B","-0.97%"
"04/12/2023","2,429.29","2,436.89","2,440.33","2,417.28","2.06B","-0.41%"
"04/11/2023","2,439.40","2,449.27","2,463.27","2,426.67","1.92B","-0.17%"
"04/10/2023","2,443.52","2,457.19","2,461.30","2,432.05","2.23B","-0.14%"
"04/07/2023","2,446.95","2,421.75","2,454.04","2,421.06","1.92B","0.84%"
"04/06/2023","2,426.57","2,404.26","2,428.80","2,402.30","2.17B","0.20%"
"04/04/2023","2,421.65","2,441.43","2,442.57","2,407.48","2.63B","-0.76%"
"04/03/2023","2,440.21","2,406.14","2,442.97","2,406.14","3.04B","1.70%"
"03/31/2023","2,399.50","2,386.86","2,402.55","2,385.41","1.76B","0.69%"
"03/30/2023","2,383.04","2,370.73","2,384.96","2,362.66","1.39B","0.50%"
"03/29/2023","2,371.19","2,371.30","2,382.00","2,367.38","1.62B","0.09%"
"03/28/2023","2,369.17","2,389.85","2,389.92","2,364.63","1.75B","-1.20%"
"03/27/2023","2,398.02","2,363.01","2,399.44","2,363.01","2.21B","1.17%"
"03/24/2023","2,370.38","2,366.43","2,373.77","2,355.74","1.95B","0.38%"
"03/23/2023","2,361.41","2,330.98","2,361.41","2,327.39","1.85B","0.83%"
"03/22/2023","2,341.92","2,348.52","2,358.63","2,330.82","2.12B","0.20%"
