"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2023","3,226.89","3,244.47","3,257.43","3,224.72","32.74B","-1.12%"
"03/15/2023","3,263.31","3,261.03","3,273.12","3,256.86","30.52B","0.55%"
"03/14/2023","3,245.31","3,261.92","3,262.00","3,216.99","31.99B","-0.72%"
"03/13/2023","3,268.70","3,228.12","3,268.70","3,228.12","29.49B","1.20%"
"03/10/2023","3,230.08","3,255.51","3,262.15","3,229.50","28.11B","-1.40%"
"03/09/2023","3,276.09","3,285.94","3,289.06","3,260.00","26.40B","-0.22%"
"03/08/2023","3,283.25","3,271.88","3,283.25","3,263.69","26.04B","-0.06%"
"03/07/2023","3,285.10","3,320.21","3,342.86","3,284.41","39.00B","-1.11%"
"03/06/2023","3,322.03","3,332.02","3,333.06","3,308.73","34.05B","-0.19%"
"03/03/2023","3,328.39","3,314.77","3,330.60","3,302.62","34.40B","0.54%"
"03/02/2023","3,310.65","3,308.01","3,320.74","3,306.46","32.85B","-0.05%"
"03/01/2023","3,312.35","3,279.14","3,315.16","3,272.04","31.84B","1.00%"
"02/28/2023","3,279.61","3,265.74","3,280.42","3,246.14","25.16B","0.66%"
"02/27/2023","3,258.03","3,257.00","3,276.58","3,251.72","24.29B","-0.28%"
"02/24/2023","3,267.16","3,287.26","3,288.39","3,253.97","23.42B","-0.62%"
"02/23/2023","3,287.48","3,293.52","3,307.44","3,275.36","26.23B","-0.11%"
"02/22/2023","3,291.15","3,292.05","3,307.03","3,286.72","25.54B","-0.47%"
"02/21/2023","3,306.52","3,291.63","3,308.79","3,282.44","32.44B","0.49%"
"02/20/2023","3,290.34","3,230.47","3,291.04","3,225.84","32.50B","2.06%"
"02/17/2023","3,224.02","3,244.73","3,262.47","3,223.26","27.85B","-0.77%"
"02/16/2023","3,249.03","3,281.74","3,308.83","3,231.34","38.09B","-0.96%"
"02/15/2023","3,280.49","3,294.01","3,296.20","3,274.55","26.99B","-0.39%"
"02/14/2023","3,293.28","3,288.97","3,293.73","3,279.19","27.10B","0.28%"
"02/13/2023","3,284.16","3,256.99","3,285.09","3,252.63","29.72B","0.72%"
"02/10/2023","3,260.67","3,266.44","3,269.99","3,247.23","26.06B","-0.30%"
"02/09/2023","3,270.38","3,227.73","3,270.38","3,225.77","25.48B","1.18%"
"02/08/2023","3,232.11","3,251.50","3,257.11","3,230.44","23.45B","-0.49%"
"02/07/2023","3,248.09","3,245.23","3,250.03","3,233.83","25.09B","0.29%"
"02/06/2023","3,238.70","3,244.70","3,250.35","3,226.21","26.71B","-0.76%"
"02/03/2023","3,263.41","3,275.66","3,275.66","3,235.35","29.33B","-0.68%"
"02/02/2023","3,285.67","3,291.78","3,295.76","3,272.41","33.34B","0.02%"
"02/01/2023","3,284.92","3,262.20","3,284.92","3,245.41","33.95B","0.90%"
"01/31/2023","3,255.67","3,266.14","3,277.25","3,252.01","30.02B","-0.42%"
"01/30/2023","3,269.32","3,308.87","3,310.49","3,266.76","35.33B","0.14%"
"01/20/2023","3,264.81","3,247.20","3,267.06","3,247.20","27.32B","0.76%"
"01/19/2023","3,240.28","3,221.52","3,240.28","3,210.38","22.65B","0.49%"
"01/18/2023","3,224.41","3,227.59","3,234.82","3,220.37","21.21B","0.00%"
"01/17/2023","3,224.24","3,229.44","3,231.26","3,211.76","22.66B","-0.10%"
"01/16/2023","3,227.59","3,198.52","3,251.37","3,197.32","30.67B","1.01%"
"01/13/2023","3,195.31","3,170.35","3,195.31","3,167.51","22.02B","1.01%"
"01/12/2023","3,163.45","3,167.27","3,171.59","3,153.40","21.67B","0.05%"
"01/11/2023","3,161.84","3,172.38","3,184.76","3,160.89","23.77B","-0.24%"
"01/10/2023","3,169.51","3,178.02","3,178.16","3,165.14","23.30B","-0.21%"
"01/09/2023","3,176.08","3,169.37","3,183.58","3,165.43","25.81B","0.58%"
"01/06/2023","3,157.64","3,155.07","3,170.74","3,151.84","25.74B","0.08%"
"01/05/2023","3,155.22","3,132.76","3,159.43","3,130.23","25.70B","1.01%"
"01/04/2023","3,123.52","3,117.57","3,129.09","3,109.45","27.33B","0.22%"
"01/03/2023","3,116.51","3,087.51","3,119.86","3,073.05","28.14B","0.88%"
"12/30/2022","3,089.26","3,084.52","3,096.31","3,082.20","21.75B","0.51%"
"12/29/2022","3,073.70","3,076.73","3,086.00","3,064.46","21.56B","-0.44%"
"12/28/2022","3,087.40","3,088.62","3,098.65","3,079.43","22.46B","-0.26%"
"12/27/2022","3,095.57","3,077.75","3,098.08","3,074.31","22.22B","0.98%"
"12/26/2022","3,065.56","3,048.20","3,071.84","3,047.35","20.65B","0.65%"
"12/23/2022","3,045.87","3,038.84","3,061.87","3,031.54","19.20B","-0.28%"
"12/22/2022","3,054.43","3,085.80","3,096.24","3,044.60","22.36B","-0.46%"
"12/21/2022","3,068.41","3,078.33","3,085.80","3,060.55","18.91B","-0.17%"
"12/20/2022","3,073.77","3,098.95","3,100.75","3,061.51","21.88B","-1.07%"
"12/19/2022","3,107.11","3,165.31","3,170.26","3,096.10","27.85B","-1.92%"
"12/16/2022","3,167.86","3,156.14","3,175.35","3,151.61","25.98B","-0.02%"
"12/15/2022","3,168.65","3,177.20","3,179.10","3,158.45","24.30B","-0.25%"
"12/14/2022","3,176.53","3,178.55","3,189.83","3,168.59","26.56B","0.01%"
"12/13/2022","3,176.33","3,179.44","3,187.20","3,171.48","28.58B","-0.09%"
"12/12/2022","3,179.04","3,195.87","3,196.72","3,176.58","33.34B","-0.87%"
"12/09/2022","3,206.95","3,197.12","3,212.11","3,182.91","373.34K","0.30%"
