"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","11,853.46","11,939.86","11,957.01","11,843.29","10.76B","-0.62%"
"02/07/2023","11,926.88","11,936.36","11,958.22","11,864.72","11.32B","0.12%"
"02/06/2023","11,912.56","11,957.27","11,977.24","11,841.67","11.54B","-1.18%"
"02/03/2023","12,054.29","12,086.28","12,095.39","11,904.28","12.13B","-0.63%"
"02/02/2023","12,131.20","12,187.55","12,208.88","12,107.52","14.00B","-0.22%"
"02/01/2023","12,158.19","12,034.88","12,158.19","11,984.45","14.90B","1.31%"
"01/31/2023","12,001.26","12,076.14","12,115.45","11,987.01","13.60B","-0.80%"
"01/30/2023","12,097.76","12,229.38","12,246.01","12,088.24","15.59B","0.98%"
"01/20/2023","11,980.62","11,942.15","11,997.53","11,931.88","10.96B","0.57%"
"01/19/2023","11,913.26","11,796.40","11,913.26","11,763.82","10.14B","0.87%"
"01/18/2023","11,810.66","11,813.38","11,855.44","11,793.32","9.62B","0.09%"
"01/17/2023","11,800.55","11,794.96","11,830.58","11,746.76","10.20B","0.13%"
"01/16/2023","11,785.77","11,612.36","11,886.95","11,612.36","14.36B","1.58%"
"01/13/2023","11,602.30","11,509.21","11,602.30","11,489.19","9.62B","1.19%"
"01/12/2023","11,465.73","11,470.61","11,528.93","11,425.11","9.84B","0.23%"
"01/11/2023","11,439.44","11,498.97","11,563.78","11,424.25","10.27B","-0.59%"
"01/10/2023","11,506.79","11,455.60","11,526.28","11,413.99","10.28B","0.49%"
"01/09/2023","11,450.15","11,411.37","11,490.59","11,408.67","11.04B","0.72%"
"01/06/2023","11,367.73","11,327.03","11,443.45","11,314.35","11.73B","0.32%"
"01/05/2023","11,332.01","11,136.77","11,346.22","11,136.77","11.72B","2.13%"
"01/04/2023","11,095.37","11,099.15","11,149.15","11,035.77","10.42B","-0.20%"
"01/03/2023","11,117.13","11,003.05","11,134.96","10,921.42","10.47B","0.92%"
"12/30/2022","11,015.99","11,046.07","11,071.93","11,013.32","7.46B","0.18%"
"12/29/2022","10,996.41","10,971.27","11,064.02","10,956.95","7.85B","-0.13%"
"12/28/2022","11,010.53","11,055.06","11,061.19","10,975.13","9.14B","-0.86%"
"12/27/2022","11,106.50","11,010.93","11,115.77","11,000.11","8.23B","1.16%"
"12/26/2022","10,978.99","10,858.33","10,996.64","10,858.33","7.72B","1.19%"
"12/23/2022","10,849.64","10,811.57","10,918.18","10,794.14","6.84B","-0.25%"
"12/22/2022","10,876.31","10,976.58","11,034.67","10,840.30","8.35B","-0.33%"
"12/21/2022","10,912.09","10,966.31","11,001.15","10,872.27","7.02B","-0.34%"
"12/20/2022","10,949.12","11,092.86","11,092.86","10,908.53","7.86B","-1.58%"
"12/19/2022","11,124.70","11,286.66","11,329.56","11,083.85","10.08B","-1.51%"
"12/16/2022","11,295.03","11,289.52","11,327.27","11,234.62","9.07B","-0.56%"
